[2023-04-20 10:42:58.670] [multi_sink] [info] id: 3254, pitch: -5.9,yaw: -4.9, altitude:538.50244, focal: 23.01266, timestamp: 1681987333
[2023-04-20 10:42:59.662] [multi_sink] [info] id: 3255, pitch: -5.9,yaw: -4.9, altitude:538.6548, focal: 23.01266, timestamp: 1681987334
[2023-04-20 10:43:00.663] [multi_sink] [info] id: 3256, pitch: -5.9,yaw: -4.9, altitude:538.8318, focal: 23.01266, timestamp: 1681987335
[2023-04-20 10:43:01.663] [multi_sink] [info] id: 3257, pitch: -5.9,yaw: -5, altitude:539.01294, focal: 23.01266, timestamp: 1681987336
[2023-04-20 10:43:02.673] [multi_sink] [info] id: 3258, pitch: -6,yaw: -5.1, altitude:539.18445, focal: 23.01266, timestamp: 1681987337
[2023-04-20 10:43:03.673] [multi_sink] [info] id: 3259, pitch: -6,yaw: -6, altitude:539.3489, focal: 23.01266, timestamp: 1681987338
[2023-04-20 10:43:04.672] [multi_sink] [info] id: 3260, pitch: -6.1,yaw: -6.5, altitude:539.5283, focal: 23.01266, timestamp: 1681987339
[2023-04-20 10:43:05.672] [multi_sink] [info] id: 3261, pitch: -6,yaw: -6.5, altitude:539.6959, focal: 20.147678, timestamp: 1681987340
[2023-04-20 10:43:06.672] [multi_sink] [info] id: 3262, pitch: -6,yaw: -6.5, altitude:539.82837, focal: 16.624472, timestamp: 1681987341
[2023-04-20 10:43:07.672] [multi_sink] [info] id: 3263, pitch: -6,yaw: -6.5, altitude:540.0095, focal: 15.940928, timestamp: 1681987342
[2023-04-20 10:43:08.661] [multi_sink] [info] id: 3264, pitch: -6.1,yaw: -6.5, altitude:540.2189, focal: 15.940928, timestamp: 1681987343
[2023-04-20 10:43:09.660] [multi_sink] [info] id: 3265, pitch: -6.1,yaw: -6.5, altitude:540.386, focal: 12.582278, timestamp: 1681987344
[2023-04-20 10:43:10.665] [multi_sink] [info] id: 3266, pitch: -6,yaw: -6.5, altitude:540.5825, focal: 11.818565, timestamp: 1681987345
[2023-04-20 10:43:11.665] [multi_sink] [info] id: 3267, pitch: -6,yaw: -6.6, altitude:540.7731, focal: 11.818565, timestamp: 1681987346
[2023-04-20 10:43:12.671] [multi_sink] [info] id: 3268, pitch: -5.4,yaw: -6.6, altitude:540.92834, focal: 9.7215185, timestamp: 1681987347
[2023-04-20 10:43:13.670] [multi_sink] [info] id: 3269, pitch: -5,yaw: -6.6, altitude:541.0687, focal: 6.742616, timestamp: 1681987348
[2023-04-20 10:43:14.670] [multi_sink] [info] id: 3270, pitch: -5,yaw: -6.6, altitude:541.2294, focal: 6.742616, timestamp: 1681987349
[2023-04-20 10:43:15.670] [multi_sink] [info] id: 3271, pitch: -4.5,yaw: -6.7, altitude:541.4011, focal: 6.742616, timestamp: 1681987350
[2023-04-20 10:43:16.670] [multi_sink] [info] id: 3272, pitch: -4.3,yaw: -6.7, altitude:541.4657, focal: 6.742616, timestamp: 1681987351
[2023-04-20 10:43:17.676] [multi_sink] [info] id: 3273, pitch: -4.3,yaw: -6.7, altitude:541.3965, focal: 6.742616, timestamp: 1681987352
[2023-04-20 10:43:18.675] [multi_sink] [info] id: 3274, pitch: -4.3,yaw: -6.7, altitude:541.4802, focal: 6.742616, timestamp: 1681987353
[2023-04-20 10:43:19.676] [multi_sink] [info] id: 3275, pitch: -4.3,yaw: -6.7, altitude:541.5636, focal: 6.742616, timestamp: 1681987354
[2023-04-20 10:43:20.675] [multi_sink] [info] id: 3276, pitch: -4.3,yaw: -6.7, altitude:541.567, focal: 6.742616, timestamp: 1681987355
[2023-04-20 10:43:21.675] [multi_sink] [info] id: 3277, pitch: -4.3,yaw: -6.7, altitude:541.5211, focal: 6.742616, timestamp: 1681987356
[2023-04-20 10:43:22.675] [multi_sink] [info] id: 3278, pitch: -2.6,yaw: -6.6, altitude:541.5023, focal: 6.742616, timestamp: 1681987357
[2023-04-20 10:43:23.675] [multi_sink] [info] id: 3279, pitch: -1,yaw: -6.6, altitude:541.4888, focal: 6.742616, timestamp: 1681987358
[2023-04-20 10:43:24.676] [multi_sink] [info] id: 3280, pitch: 0.3,yaw: -6.6, altitude:541.44556, focal: 6.742616, timestamp: 1681987359
[2023-04-20 10:43:25.681] [multi_sink] [info] id: 3281, pitch: 1.2,yaw: -6.7, altitude:541.22437, focal: 6.742616, timestamp: 1681987360
[2023-04-20 10:43:26.681] [multi_sink] [info] id: 3282, pitch: 1.8,yaw: -6.8, altitude:541.2577, focal: 6.742616, timestamp: 1681987361
[2023-04-20 10:43:27.683] [multi_sink] [info] id: 3283, pitch: 2.4,yaw: -6.9, altitude:541.27185, focal: 6.742616, timestamp: 1681987362
[2023-04-20 10:43:28.683] [multi_sink] [info] id: 3284, pitch: 3,yaw: -6.7, altitude:541.2683, focal: 6.742616, timestamp: 1681987363
[2023-04-20 10:43:29.693] [multi_sink] [info] id: 3285, pitch: 3.6,yaw: -6.7, altitude:541.2999, focal: 6.742616, timestamp: 1681987364
[2023-04-20 10:43:30.693] [multi_sink] [info] id: 3286, pitch: -0.1,yaw: -6.3, altitude:541.45215, focal: 6.742616, timestamp: 1681987365
[2023-04-20 10:43:31.693] [multi_sink] [info] id: 3287, pitch: -3,yaw: -6.3, altitude:541.577, focal: 6.742616, timestamp: 1681987366
[2023-04-20 10:43:32.692] [multi_sink] [info] id: 3288, pitch: -5.4,yaw: -5.9, altitude:541.7698, focal: 6.742616, timestamp: 1681987367
[2023-04-20 10:43:33.691] [multi_sink] [info] id: 3289, pitch: -12.7,yaw: -4.7, altitude:542.01025, focal: 6.742616, timestamp: 1681987368
[2023-04-20 10:43:34.692] [multi_sink] [info] id: 3290, pitch: -21.3,yaw: -3.4, altitude:542.2534, focal: 6.742616, timestamp: 1681987369
[2023-04-20 10:43:35.701] [multi_sink] [info] id: 3291, pitch: -29.6,yaw: -2.1, altitude:542.52246, focal: 6.742616, timestamp: 1681987370
[2023-04-20 10:43:36.701] [multi_sink] [info] id: 3292, pitch: -32.5,yaw: -1.9, altitude:542.85156, focal: 6.742616, timestamp: 1681987371
[2023-04-20 10:43:37.701] [multi_sink] [info] id: 3293, pitch: -32.5,yaw: -1.9, altitude:543.1593, focal: 6.742616, timestamp: 1681987372
[2023-04-20 10:43:38.695] [multi_sink] [info] id: 3294, pitch: -30.9,yaw: -1.9, altitude:543.4608, focal: 6.742616, timestamp: 1681987373
[2023-04-20 10:43:39.694] [multi_sink] [info] id: 3295, pitch: -26,yaw: -3.4, altitude:543.73425, focal: 6.742616, timestamp: 1681987374
